date,atoll,island,habitat,status,transect,depth,cover,rugosity,coral_prod,cca_prod,cca_site,gross_prod,macro_ero,micro_ero,urchin_ero,parrot_ero,gross_ero,net_prod,coral_prod_2.0,gross_prod_2.0,net_prod_2.0,competitive,generalist,comp_2.7,gen_1.6,coral_prod_taxa,gross_prod_taxa,net_prod_taxa,
24/10/2023,PB,Ile Poule,lagoon,ratty,2.000,2.000,22.426,1.536,3.182,0.260,0.319,3.441,0.098,0.287,0.003,1.034,1.422,2.019,3.182,3.501,2.078,2.539,0.643,2.539,0.643,3.182,3.501,2.078,
24/10/2023,PB,Ile Poule,lagoon,ratty,3.000,2.000,19.179,1.570,4.624,0.548,0.673,5.172,0.105,0.294,0.008,1.034,1.440,3.732,4.624,5.297,3.856,1.249,3.310,1.249,3.310,4.559,5.232,3.791,
24/10/2023,PB,Ile Poule,lagoon,ratty,4.000,2.000,14.633,1.693,2.847,0.362,0.445,3.209,0.117,0.317,0.000,1.034,1.468,1.741,2.847,3.291,1.823,1.935,0.912,1.935,0.912,2.847,3.291,1.823,
28/10/2023,GCB,Middle Brother,lagoon,birdy,1.000,1.500,10.229,1.398,2.176,0.063,0.047,2.239,0.070,0.211,0.000,0.995,1.276,0.963,4.352,4.399,3.123,0.569,1.607,1.536,2.572,4.107,4.154,2.878,
28/10/2023,GCB,Middle Brother,lagoon,birdy,2.000,1.500,20.257,1.244,2.934,0.013,0.010,2.947,0.066,0.194,0.000,0.995,1.255,1.692,5.867,5.877,4.622,1.474,1.459,3.980,2.335,6.315,6.325,5.070,
28/10/2023,GCB,Middle Brother,lagoon,birdy,3.000,1.500,16.784,1.275,1.768,0.100,0.074,1.868,0.060,0.193,0.000,0.995,1.248,0.620,3.535,3.609,2.361,0.498,1.269,1.345,2.031,3.376,3.450,2.202,
28/10/2023,GCB,Middle Brother,lagoon,birdy,4.000,1.500,17.698,1.390,1.991,0.111,0.082,2.102,0.066,0.198,0.000,0.995,1.259,0.843,3.981,4.063,2.804,1.016,0.974,2.744,1.559,4.303,4.385,3.126,
30/10/2023,GCB,Eagle,lagoon,ratty,1.000,1.200,19.749,1.352,2.387,0.133,0.164,2.520,0.083,0.230,0.000,0.426,0.739,1.782,2.387,2.551,1.812,0.613,1.774,0.613,1.774,2.387,2.551,1.812,
30/10/2023,GCB,Eagle,lagoon,ratty,2.000,1.200,21.584,1.288,2.320,0.191,0.235,2.511,0.083,0.237,0.000,0.426,0.746,1.766,2.320,2.555,1.809,0.574,1.746,0.574,1.746,2.320,2.555,1.809,
30/10/2023,GCB,Eagle,lagoon,ratty,3.000,1.200,22.718,1.413,2.821,0.213,0.262,3.035,0.086,0.257,0.000,0.426,0.769,2.266,2.821,3.083,2.314,0.567,2.254,0.567,2.254,2.821,3.083,2.314,
30/10/2023,GCB,Eagle,lagoon,ratty,4.000,1.200,17.225,1.434,2.830,0.254,0.312,3.083,0.091,0.248,0.000,0.426,0.765,2.319,2.830,3.141,2.376,0.442,2.388,0.442,2.388,2.830,3.141,2.376,
18/10/2023,SA,Ile de la Passe,shallow,birdy,1.000,2.500,29.309,1.317,3.951,0.470,0.347,4.421,0.075,0.245,0.269,1.656,2.245,2.176,7.902,8.248,6.003,1.148,2.700,3.101,4.320,7.421,7.768,5.522,
18/10/2023,SA,Ile de la Passe,shallow,birdy,2.000,2.500,22.052,1.238,2.007,0.469,0.346,2.476,0.076,0.232,0.023,1.656,1.988,0.489,4.015,4.360,2.373,0.804,1.203,2.172,1.925,4.097,4.442,2.455,
18/10/2023,SA,Ile de la Passe,shallow,birdy,3.000,2.500,26.323,1.474,5.098,0.420,0.310,5.518,0.081,0.276,0.368,1.656,2.382,3.137,10.197,10.506,8.125,0.770,4.329,2.078,6.926,9.004,9.314,6.932,
18/10/2023,SA,Ile de la Passe,shallow,birdy,4.000,2.500,38.355,1.653,6.302,0.433,0.319,6.736,0.079,0.304,0.137,1.656,2.176,4.559,12.605,12.924,10.748,1.470,4.833,3.968,7.732,11.700,12.020,9.844,
18/10/2023,SA,Ile Anglaise,shallow,ratty,1.000,2.000,29.834,1.686,6.298,0.555,0.682,6.853,0.097,0.315,0.005,4.389,4.805,2.048,6.298,6.980,2.174,1.611,4.687,1.611,4.687,6.298,6.980,2.174,
18/10/2023,SA,Ile Anglaise,shallow,ratty,2.000,2.000,23.462,1.479,4.594,0.508,0.624,5.103,0.086,0.269,0.000,4.389,4.744,0.359,4.594,5.219,0.475,1.278,3.316,1.278,3.316,4.594,5.219,0.475,
18/10/2023,SA,Ile Anglaise,shallow,ratty,3.000,2.000,52.387,1.676,10.794,0.420,0.515,11.213,0.064,0.313,0.004,4.389,4.769,6.444,10.794,11.309,6.540,2.877,7.917,2.877,7.917,10.794,11.309,6.540,
18/10/2023,SA,Ile Anglaise,shallow,ratty,4.000,2.000,42.266,1.836,8.007,0.464,0.570,8.471,0.081,0.343,0.000,4.389,4.813,3.658,8.007,8.576,3.764,3.612,4.395,3.612,4.395,8.007,8.576,3.764,
23/10/2023,PB,Grande Coquillage,shallow,birdy,1.000,3.000,8.220,1.326,0.990,0.240,0.177,1.230,0.095,0.241,0.258,0.387,0.981,0.249,1.980,2.157,1.176,0.273,0.718,0.736,1.148,1.884,2.061,1.080,
23/10/2023,PB,Grande Coquillage,shallow,birdy,2.000,3.000,16.093,1.336,1.875,0.194,0.143,2.068,0.083,0.235,0.258,0.387,0.963,1.105,3.749,3.892,2.929,0.246,1.629,0.663,2.606,3.270,3.412,2.449,
23/10/2023,PB,Grande Coquillage,shallow,birdy,3.000,3.000,13.852,1.500,1.813,0.381,0.281,2.194,0.088,0.250,0.132,0.387,0.856,1.337,3.625,3.906,3.050,0.826,0.986,2.231,1.578,3.809,4.090,3.234,
23/10/2023,PB,Grande Coquillage,shallow,birdy,4.000,3.000,9.163,1.394,1.247,0.307,0.226,1.554,0.099,0.255,0.001,0.387,0.742,0.812,2.494,2.720,1.978,0.604,0.642,1.632,1.028,2.660,2.886,2.144,
25/10/2023,PB,Ile Poule,shallow,ratty,1.000,2.000,17.803,1.657,2.584,0.240,0.295,2.824,0.112,0.310,0.258,1.695,2.374,0.450,2.584,2.879,0.504,1.564,1.020,1.564,1.020,2.584,2.879,0.504,
25/10/2023,PB,Ile Poule,shallow,ratty,2.000,2.000,17.189,1.722,2.573,0.363,0.445,2.935,0.120,0.322,0.054,1.695,2.192,0.743,2.573,3.018,0.826,2.109,0.464,2.109,0.464,2.573,3.018,0.826,
25/10/2023,PB,Ile Poule,shallow,ratty,3.000,2.000,11.890,1.783,2.162,0.467,0.574,2.630,0.128,0.333,0.016,1.695,2.173,0.456,2.162,2.736,0.563,0.682,1.481,0.682,1.481,2.162,2.736,0.563,
25/10/2023,PB,Ile Poule,shallow,ratty,4.000,2.000,16.471,1.700,2.620,0.452,0.555,3.072,0.114,0.318,0.022,1.695,2.148,0.924,2.620,3.175,1.027,1.169,1.451,1.169,1.451,2.620,3.175,1.027,
29/10/2023,GCB,Middle Brother,shallow,birdy,1.000,3.000,28.307,1.406,1.975,0.096,0.071,2.072,0.079,0.262,0.604,1.138,2.083,-0.012,3.951,4.022,1.938,0.251,1.724,0.678,2.759,3.437,3.508,1.424,
29/10/2023,GCB,Middle Brother,shallow,birdy,2.000,3.000,50.513,1.463,5.184,0.087,0.064,5.271,0.059,0.274,0.445,1.138,1.916,3.355,10.369,10.433,8.517,2.504,2.680,6.762,4.288,11.050,11.114,9.198,
29/10/2023,GCB,Middle Brother,shallow,birdy,3.000,3.000,29.994,1.557,4.406,0.230,0.169,4.635,0.091,0.290,1.917,1.138,3.437,1.199,8.811,8.981,5.544,2.009,2.397,5.424,3.835,9.259,9.428,5.992,
29/10/2023,GCB,Middle Brother,shallow,birdy,4.000,3.000,38.852,1.516,5.498,0.231,0.170,5.729,0.076,0.283,0.000,1.138,1.498,4.231,10.997,11.167,9.669,1.857,3.642,5.013,5.827,10.840,11.010,9.512,
31/10/2023,GCB,Eagle,shallow,ratty,1.000,2.500,12.547,1.610,2.818,0.021,0.026,2.840,0.103,0.263,0.000,0.325,0.691,2.148,2.818,2.844,2.153,2.236,0.583,2.236,0.583,2.818,2.844,2.153,
31/10/2023,GCB,Eagle,shallow,ratty,2.000,2.500,16.312,1.361,2.466,0.046,0.057,2.512,0.075,0.209,0.000,0.325,0.609,1.903,2.466,2.522,1.914,2.299,0.166,2.299,0.166,2.466,2.522,1.914,
31/10/2023,GCB,Eagle,shallow,ratty,3.000,2.500,10.389,1.415,1.681,0.006,0.007,1.687,0.107,0.261,0.000,0.325,0.693,0.994,1.681,1.688,0.995,1.122,0.559,1.122,0.559,1.681,1.688,0.995,
31/10/2023,GCB,Eagle,shallow,ratty,4.000,2.500,17.697,1.520,2.576,0.044,0.055,2.621,0.095,0.264,0.000,0.325,0.683,1.938,2.576,2.631,1.948,1.479,1.097,1.479,1.097,2.576,2.631,1.948,
21/10/2023,SA,Ile de la Passe,deep,birdy,1.000,9.500,41.458,1.879,9.468,0.314,0.231,9.782,0.063,0.573,0.000,1.804,2.440,7.342,9.468,9.699,7.259,7.097,2.371,19.162,2.371,19.162,9.699,7.259,
21/10/2023,SA,Ile de la Passe,deep,birdy,2.000,9.500,40.659,1.820,9.787,0.319,0.235,10.106,0.061,0.536,0.000,1.804,2.401,7.705,9.787,10.022,7.621,6.072,3.716,16.393,3.716,16.393,10.022,7.621,
21/10/2023,SA,Ile de la Passe,deep,birdy,3.000,9.500,38.344,1.764,8.765,0.316,0.233,9.080,0.067,0.543,0.000,1.804,2.413,6.667,8.765,8.997,6.584,6.752,2.012,18.232,2.012,18.232,8.997,6.584,
21/10/2023,SA,Ile de la Passe,deep,birdy,4.000,9.500,46.205,1.950,10.076,0.275,0.202,10.350,0.065,0.603,0.000,1.804,2.471,7.879,10.076,10.278,7.807,7.090,2.986,19.143,2.986,19.143,10.278,7.807,
21/10/2023,SA,Ile Anglaise,deep,ratty,1.000,8.500,55.747,2.036,13.778,0.287,0.353,14.066,0.054,0.631,0.000,3.643,4.328,9.738,13.778,14.131,9.803,10.652,3.127,10.652,3.127,10.652,14.131,9.803,
21/10/2023,SA,Ile Anglaise,deep,ratty,2.000,8.500,45.996,1.798,8.628,0.417,0.512,9.045,0.063,0.559,0.000,3.643,4.265,4.780,8.628,9.140,4.875,6.111,2.517,6.111,2.517,6.111,9.140,4.875,
21/10/2023,SA,Ile Anglaise,deep,ratty,3.000,8.500,53.238,1.884,12.137,0.191,0.235,12.328,0.050,0.576,0.000,3.643,4.269,8.059,12.137,12.371,8.102,9.706,2.431,9.706,2.431,9.706,12.371,8.102,
21/10/2023,SA,Ile Anglaise,deep,ratty,4.000,8.500,38.147,1.738,8.362,0.386,0.475,8.749,0.065,0.541,0.000,3.643,4.249,4.499,8.362,8.837,4.588,6.100,2.262,6.100,2.262,6.100,8.837,4.588,
23/10/2023,PB,Grande Coquillage,deep,birdy,1.000,9.000,36.538,1.612,5.969,0.130,0.096,6.099,0.062,0.493,0.001,2.327,2.883,3.216,5.969,6.065,3.182,4.111,1.858,11.099,1.858,11.099,6.065,3.182,
23/10/2023,PB,Grande Coquillage,deep,birdy,2.000,9.000,47.263,1.443,6.286,0.140,0.103,6.427,0.045,0.447,0.002,2.327,2.821,3.606,6.286,6.390,3.569,1.981,4.306,5.348,4.306,5.348,6.390,3.569,
23/10/2023,PB,Grande Coquillage,deep,birdy,3.000,9.000,23.771,1.607,4.210,0.198,0.146,4.407,0.070,0.491,0.008,2.327,2.896,1.511,4.210,4.355,1.459,2.111,2.098,5.700,2.098,5.700,4.355,1.459,
23/10/2023,PB,Grande Coquillage,deep,birdy,4.000,9.000,43.455,1.654,7.968,0.132,0.097,8.100,0.046,0.499,0.007,2.327,2.879,5.221,7.968,8.065,5.186,4.406,3.562,11.897,3.562,11.897,8.065,5.186,
25/10/2023,PB,Ile Poule,deep,ratty,1.000,9.000,28.408,1.658,5.048,0.164,0.202,5.212,0.073,0.505,0.011,4.282,4.871,0.341,5.048,5.250,0.379,1.892,3.156,1.892,3.156,1.892,5.250,0.379,
25/10/2023,PB,Ile Poule,deep,ratty,2.000,9.000,30.811,1.467,4.195,0.194,0.239,4.389,0.058,0.438,0.022,4.282,4.800,-0.411,4.195,4.433,-0.366,0.904,3.291,0.904,3.291,0.904,4.433,-0.366,
25/10/2023,PB,Ile Poule,deep,ratty,3.000,9.000,32.861,1.552,6.261,0.152,0.186,6.413,0.060,0.466,0.010,4.282,4.818,1.595,6.261,6.448,1.630,2.755,3.507,2.755,3.507,2.755,6.448,1.630,
25/10/2023,PB,Ile Poule,deep,ratty,4.000,9.000,23.316,1.767,4.104,0.267,0.328,4.371,0.075,0.511,0.001,4.282,4.869,-0.498,4.104,4.432,-0.437,0.991,3.113,0.991,3.113,0.991,4.432,-0.437,
29/10/2023,GCB,Middle Brother,deep,birdy,1.000,8.500,35.345,1.624,5.714,0.158,0.117,5.873,0.062,0.499,0.000,1.138,1.700,4.173,5.714,5.831,4.132,3.308,2.406,8.933,2.406,8.933,5.831,4.132,
29/10/2023,GCB,Middle Brother,deep,birdy,2.000,8.500,25.282,1.329,3.373,0.072,0.053,3.445,0.064,0.411,0.258,1.138,1.872,1.574,3.373,3.426,1.555,1.537,1.836,4.149,1.836,4.149,3.426,1.555,
29/10/2023,GCB,Middle Brother,deep,birdy,3.000,8.500,28.109,1.978,5.972,0.248,0.183,6.220,0.084,0.608,5.507,1.138,7.338,-1.118,5.972,6.155,-1.183,2.193,3.779,5.921,3.779,5.921,6.155,-1.183,
29/10/2023,GCB,Middle Brother,deep,birdy,4.000,8.500,40.949,1.731,6.827,0.135,0.100,6.962,0.060,0.528,3.593,1.138,5.319,1.643,6.827,6.926,1.607,3.018,3.809,8.148,3.809,8.148,6.926,1.607,
31/10/2023,GCB,Eagle,deep,ratty,1.000,8.500,50.427,1.404,7.545,0.074,0.091,7.619,0.039,0.415,0.349,2.084,2.886,4.733,7.545,7.636,4.750,4.430,3.115,4.430,3.115,4.430,7.636,4.750,
31/10/2023,GCB,Eagle,deep,ratty,2.000,8.500,51.752,1.341,8.781,0.032,0.039,8.813,0.037,0.418,0.034,2.084,2.573,6.240,8.781,8.820,6.247,5.569,3.212,5.569,3.212,5.569,8.820,6.247,
31/10/2023,GCB,Eagle,deep,ratty,3.000,8.500,19.078,1.237,2.809,0.025,0.030,2.833,0.060,0.374,0.020,2.084,2.537,0.296,2.809,2.839,0.301,0.854,1.955,0.854,1.955,0.854,2.839,0.301,
31/10/2023,GCB,Eagle,deep,ratty,4.000,8.500,35.176,1.339,5.062,0.059,0.073,5.122,0.045,0.390,0.003,2.084,2.521,2.600,5.062,5.135,2.614,1.385,3.677,1.385,3.677,1.385,5.135,2.614,
